Timestamp,"1 - Você já foi vítima de algum tipo de abuso sexual por parte de um profissional da saúde, como toques ou comentários inapropriados?",2 - Como você se identifica?,4 - Quantos anos você tem?,3 - Qual a sua classe social?,5 - Com qual gênero você se identifica?,4 - Qual é a sua orientação sexual?,5 - Que tipo de abuso sexual você sofreu? (marque quantas forem necessárias),6 - Em que local ocorreu o abuso?,10 - Quantos anos você tinha quando o abuso aconteceu?,9 - Qual era a especialidade do profissional?,11 - Em qual estado aconteceu o abuso?,12 - Em qual cidade aconteceu o abuso?,15 - Você fez uma denúncia?,16 - Como foi a sua experiência no processo de Denúncia? (marque quantas forem necessárias)
2/18/2020 13:45:13,"Sim, por um profissional da saúde homem",Branca,26-30,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Clínico geral / gastroenterologista,Goiás,Ceres,Não,
2/18/2020 20:18:47,"Sim, por um profissional da saúde homem",Branca,31-35,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Posto de saúde,20-30,Ginecologista,Rio Grande do Sul,Tapes,Não,
2/19/2020 4:35:21,"Sim, por um profissional da saúde homem",Negra,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologista,São Paulo,São Paulo,Sim,Prefiro não falar sobre o assunto
2/19/2020 14:05:51,"Sim, por um profissional da saúde homem",Branca,26-30,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,dermatologista,Bahia,Salvador,Não,
2/21/2020 17:54:42,"Sim, por um profissional da saúde homem",Negra,41-45,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,20-30,Obstetra,Rio Grande do Norte,Natal,Não,
3/4/2020 14:09:59,"Sim, por um profissional da saúde homem",Parda,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologista,Minas Gerais,Belo Horizonte,Não,
3/4/2020 20:48:21,"Sim, por um profissional da saúde homem",Branca,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Ginecologista obstetra,Rio de Janeiro,Nova Friburgo,Não,
3/4/2020 21:29:42,"Sim, por um profissional da saúde homem",Amarela,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Importunação sexual (Beijos forçados e toques sem permissão),Clínica particular,20-30,,São Paulo,São Paulo,Não,
4/19/2020 0:53:49,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,20-30,Clínica Médica,São Paulo,Santo André,Não,
5/5/2020 15:13:53,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,20-30,Que faz ultrassom,Rio Grande do Sul,Getúlio Vargas,Não,
